name,address,size,end,classification,confidence
func_001039E0,0x001039E0,0x10,0x001039F0,code,spimdisasm-explicit-size-before-first-data
func_001039F0,0x001039F0,0x10,0x00103A00,code,spimdisasm-explicit-size-before-first-data
func_00103A00,0x00103A00,0x10,0x00103A10,code,spimdisasm-explicit-size-before-first-data
func_00103A10,0x00103A10,0x10,0x00103A20,code,spimdisasm-explicit-size-before-first-data
func_00103A20,0x00103A20,0x10,0x00103A30,code,spimdisasm-explicit-size-before-first-data
func_00103A30,0x00103A30,0x10,0x00103A40,code,spimdisasm-explicit-size-before-first-data
func_00103A40,0x00103A40,0x10,0x00103A50,code,spimdisasm-explicit-size-before-first-data
func_00103A50,0x00103A50,0x10,0x00103A60,code,spimdisasm-explicit-size-before-first-data
func_00103A60,0x00103A60,0x10,0x00103A70,code,spimdisasm-explicit-size-before-first-data
func_00103A70,0x00103A70,0x10,0x00103A80,code,spimdisasm-explicit-size-before-first-data
func_00103A80,0x00103A80,0x10,0x00103A90,code,spimdisasm-explicit-size-before-first-data
func_00103A90,0x00103A90,0x10,0x00103AA0,code,spimdisasm-explicit-size-before-first-data
func_00103AA0,0x00103AA0,0x10,0x00103AB0,code,spimdisasm-explicit-size-before-first-data
func_00103AB0,0x00103AB0,0x10,0x00103AC0,code,spimdisasm-explicit-size-before-first-data
func_00103AC0,0x00103AC0,0x10,0x00103AD0,code,spimdisasm-explicit-size-before-first-data
func_00103AD0,0x00103AD0,0x10,0x00103AE0,code,spimdisasm-explicit-size-before-first-data
func_00103AE0,0x00103AE0,0x10,0x00103AF0,code,spimdisasm-explicit-size-before-first-data
func_00103AF0,0x00103AF0,0x10,0x00103B00,code,spimdisasm-explicit-size-before-first-data
func_00103B00,0x00103B00,0x10,0x00103B10,code,spimdisasm-explicit-size-before-first-data
func_00103B10,0x00103B10,0x10,0x00103B20,code,spimdisasm-explicit-size-before-first-data
func_00103B20,0x00103B20,0x10,0x00103B30,code,spimdisasm-explicit-size-before-first-data
func_00103B30,0x00103B30,0x10,0x00103B40,code,spimdisasm-explicit-size-before-first-data
func_00103B40,0x00103B40,0x10,0x00103B50,code,spimdisasm-explicit-size-before-first-data
func_00103B50,0x00103B50,0x10,0x00103B60,code,spimdisasm-explicit-size-before-first-data
func_00103B60,0x00103B60,0x10,0x00103B70,code,spimdisasm-explicit-size-before-first-data
func_00103B70,0x00103B70,0x10,0x00103B80,code,spimdisasm-explicit-size-before-first-data
func_00103B80,0x00103B80,0x10,0x00103B90,code,spimdisasm-explicit-size-before-first-data
func_00103B90,0x00103B90,0x10,0x00103BA0,code,spimdisasm-explicit-size-before-first-data
func_00103BA0,0x00103BA0,0x10,0x00103BB0,code,spimdisasm-explicit-size-before-first-data
func_00103BB0,0x00103BB0,0x10,0x00103BC0,code,spimdisasm-explicit-size-before-first-data
func_00103BC0,0x00103BC0,0x10,0x00103BD0,code,spimdisasm-explicit-size-before-first-data
